"","logFC","logCPM","LR","PValue","FDR"
"AT5G65540",-0.6596547,4.004127,1.137017,0.2862836,0.756872
"AT1G75990",-0.4489444,5.781448,1.136317,0.286432,0.7570439
"AT5G08190",-0.7282532,3.400461,1.136145,0.2864685,0.7570439
"AT5G04040",-0.3912637,6.051134,1.13582,0.2865373,0.7570674
"AT5G50860",-0.5534085,4.355592,1.134139,0.2868942,0.7578358
"AT3G23540",-0.5532146,4.290316,1.133885,0.2869481,0.7578358
"AT4G32410",0.4140289,7.892282,1.132359,0.2872728,0.7585346
"AT4G17695",-0.7971954,3.358314,1.131488,0.2874581,0.7588653
"AT1G07140",-0.3978537,7.877067,1.130669,0.2876327,0.7589937
"AT1G15200",0.4317022,7.008229,1.13065,0.2876368,0.7589937
"AT5G59960",-0.5722089,4.047213,1.130414,0.287687,0.7589937
"AT1G13020",-0.4470682,5.893804,1.128837,0.2880236,0.7595476
"AT2G34860",0.584263,8.20981,1.128757,0.2880406,0.7595476
"AT2G35690",0.6095952,4.116033,1.128492,0.2880973,0.7595476
"AT5G43150",0.5146035,4.247424,1.128104,0.2881801,0.7595476
"AT4G11960",0.4497829,5.300778,1.128022,0.2881976,0.7595476
"AT1G07970",-0.8285339,3.195084,1.127172,0.2883794,0.7596539
"AT4G00940",1.071976,2.98888,1.127091,0.2883968,0.7596539
"AT3G57410",-0.4023147,6.177093,1.126925,0.2884322,0.7596539
"AT1G76900",-0.4792211,5.014627,1.126709,0.2884784,0.7596539
"AT3G12210",0.5112403,4.812317,1.12555,0.2887266,0.7600365
"AT3G15590",-0.4906223,4.422052,1.125305,0.2887789,0.7600365
"AT5G41580",-0.7506065,3.692918,1.125187,0.2888042,0.7600365
"AT5G66100",-0.4527537,5.38733,1.123821,0.2890971,0.7604165
"AT4G28390",-0.7910929,3.32979,1.123686,0.2891261,0.7604165
"AT2G32160",0.5464962,4.778304,1.123393,0.289189,0.7604165
"AT1G48230",-0.661934,3.482423,1.123195,0.2892315,0.7604165
"AT1G78680",0.4562762,6.99201,1.123009,0.2892715,0.7604165
"AT1G60870",0.4074299,7.665915,1.12283,0.2893098,0.7604165
"AT5G05100",-0.4043853,5.816856,1.121702,0.2895522,0.7605229
"AT5G19440",-0.4456402,7.218996,1.121633,0.2895671,0.7605229
"AT4G14910",0.5046029,5.60895,1.121585,0.2895774,0.7605229
"AT1G29670",0.4082348,7.658076,1.121521,0.2895911,0.7605229
"AT2G39970",-0.4377411,6.128438,1.120726,0.2897621,0.7608137
"AT4G09570",-0.4525389,5.182407,1.120057,0.2899062,0.7608709
"AT2G20950",-0.5258557,4.435031,1.120026,0.2899129,0.7608709
"AT3G27925",0.4422735,8.145722,1.119296,0.29007,0.7608709
"AT5G62270",0.5848102,4.148244,1.119243,0.2900816,0.7608709
"AT4G09320",0.3832344,6.654449,1.118875,0.2901607,0.7608709
"AT3G26220",-0.91692,3.239628,1.118549,0.2902311,0.7608709
"AT2G29550",0.4132383,5.602891,1.118462,0.2902498,0.7608709
"AT4G01370",-0.4057819,5.754536,1.118133,0.2903208,0.7608709
"AT4G31720",0.5643113,3.876922,1.117906,0.2903697,0.7608709
"AT3G07140",0.6264321,3.811383,1.11783,0.2903862,0.7608709
"AT1G79075",0.7382804,4.45097,1.117496,0.2904583,0.760902
"AT1G72700",0.5138502,4.396549,1.116675,0.2906356,0.7610927
"AT4G01026",-0.4566979,4.77897,1.116601,0.2906516,0.7610927
"AT5G61660",0.4451022,6.204363,1.116256,0.2907261,0.76113
"AT5G10270",-0.5348855,4.263725,1.115278,0.2909375,0.7613873
"AT2G36330",-0.7769392,5.133569,1.115244,0.2909449,0.7613873
"AT1G61260",-0.7781001,3.836109,1.11443,0.291121,0.7615328
"AT3G20320",-0.5667334,4.144885,1.114429,0.2911211,0.7615328
"AT4G35060",-0.5395303,4.587711,1.113987,0.2912168,0.7616254
